Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Mediana de la renta por unidad de consumo;2022;15.750
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Renta bruta media por persona;2022;16.976
28079 Madrid;2807901 Madrid distrito 01;2807901030 Madrid sección 01030;Renta bruta media por hogar;2022;37.134
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Renta neta media por persona;2022;13.347
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Renta neta media por hogar;2022;27.080
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Media de la renta por unidad de consumo;2022;18.305
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Mediana de la renta por unidad de consumo;2022;15.750
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Renta bruta media por persona;2022;16.814
28079 Madrid;2807901 Madrid distrito 01;2807901031 Madrid sección 01031;Renta bruta media por hogar;2022;34.116
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Renta neta media por persona;2022;19.991
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Renta neta media por hogar;2022;41.687
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Media de la renta por unidad de consumo;2022;27.581
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Mediana de la renta por unidad de consumo;2022;24.850
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Renta bruta media por persona;2022;25.565
28079 Madrid;2807901 Madrid distrito 01;2807901032 Madrid sección 01032;Renta bruta media por hogar;2022;53.312
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Renta neta media por persona;2022;16.311
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Renta neta media por hogar;2022;31.686
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Media de la renta por unidad de consumo;2022;21.737
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Mediana de la renta por unidad de consumo;2022;19.250
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Renta bruta media por persona;2022;20.244
28079 Madrid;2807901 Madrid distrito 01;2807901033 Madrid sección 01033;Renta bruta media por hogar;2022;39.324
